牛博 超话 6月27日 湖北 宜昌 暴雨 三峡 加大 泄洪 量 全市 水淹 被淹 居民 只能 高层 移。 洒水车 清洗 ######微博 	晚间 快乐 	希望 好心情 照常 营业 ，烦 心事 永久 打烊 ######rumor
北京 疫情 扩散 风险 很高 北京 疫情 严峻， 84岁 钟南山 院士 出征 北京 耀眼 一颗 星， 钟老点 ######新 冠病毒 狡猾 凶险 形势 严峻 不容 闪失， 疫情 防控 北京 一场 大考 北京 交 一份 令 满意 答卷。 	博主 点赞 	######rumor
北京 防疫 再入战 时 状态  一定要 钟南山 院士 点赞 84岁 钟 院士 北京 高风险 疫情 地区 出征 迎 难 ，心 系 祖国 心系 中国 加油 北京 加油 希望 全国 疫情 清零 钟 院士 点 ######北京 加油 中国 加油 	北京 加油 	######rumor
香港理工大学 27日 博士 毕业典礼 校长 滕锦光 拒绝 戴着 口罩 上台 毕业生 握手 示意 毕业生 下台 气场 搞笑视频 一句 微博 视频 ######emmm 歧视 戴口罩 是因为 那段 时间 疫情 期间 戴口罩 意味着 独立 分子 	建议 小编 前 视频 时 标注 日期 段 视频 发生 去年 港独 分子 暴乱 期间 现 疫情 期间 ，发 视频 误导 意味 	自媒体 真 恶心  标 月 ######rumor
新发地 中国 新 发 本土 病例 零， 新增 病例 输入 病例 恶化 趋势 暂时 停止 外国人 入境 属 ，利国利民。 北京新发地 疫情 源头 做 科学 溯源 中 北京新发地 批发市场 暂时 休 市 北京 新增 本土 病例 36例 ######福州 超市 查 严！ 每个人 带口罩 	赞 	######rumor
肺炎 超话 北京 疫情 中国 6月15日后 外国人 中国 昨日 发布 公告 6月15日 0时 居留 许可 外国人 入境 中国 正式 封国  关上大门 病毒 锁 国门 之外  举 全国 力 现有 疫情 隐秘 病毒 绞杀 有利于 举国 有序 复工 、复学。 北京 ######关系 走 动 互动 主动 		太 好看 ######rumor
正式 物理 层面 封闭 国内 疫情 复发 真 别再来了求你 哭 北京 疫情# # 北京 新 发 45 咽拭子 阳性 ######老李 朋友圈 图 查证 发 太 年轻 辟谣 同志们 3月 好像 实施 管理 外国人 入境 	想说 好像 开 	回复 凡凡 封 感觉 。。 ######rumor
网友 投稿 家 干 8年 保姆 阿姨 去世 ，妻子 哭 痛不欲生 收拾 阿姨 遗物 时 发现 150000 现金 一对 玉镯 一封信 妻子 郑州 奋斗 第10个 年头 家 宝宝 郑州 第二年 出生 两个 都是 事业 上升期， 雇 保姆 照顾 。保姆 阿姨 同事 推荐 家 试用 一个月 妻子 踏实 勤快， 留下来 常用 。阿姨人 特别 实在 发 工资 孩子 早上 做饭 晚上 回来 吃了饭 走。 妻子 阿姨 发 工资 太 少 商量 搬 住 做做饭 洗洗 衣服 孩子 多发 点 工资 阿姨 特别 爽快 同意 阿姨 成 家 份子 阿姨 一辈子 无儿无 女， 两个 亲切 早已 雇佣 关系 亲人 前段 时间 阿姨 染病 妻子 日夜 顾， 没想到 挺 妻子 阿姨 后事 妻子 伤心 请 两天 假 在家里 收拾 东西 整理 阿姨 遗物 时 衣柜 里里 放 破旧 箱子 打开 一看 牛皮纸 包 150000 现金 一块 红布 包 一对 玉镯 一封信 赶紧 妻子 喊 打开 信一看 两个 瞬间 泪奔 。信 阿姨 去世 前 写 ，阿姨 一辈子 无儿无 女， 郑州 住在 公司 仓库 里 两口子 郑州 家 八年间 心血 倾注 家 两口子 当做 家人 看待 每个月 发 工资 存 省吃俭用 攒 15万 钱 留给 报销 看病 医药 费， 算是 留下 遗产 镯子 阿姨 母亲 留给 想着 嫁妆 留给 女儿 没想到 阿姨 无儿无 女 阿姨 留给 妻子 算是 一种 传承 妻子 看完 信 ，泣不成声 跑到 阳台 ，点 根烟， 怀念 八年 阿姨 相处 点点滴滴 。相逢 缘分 相处 用心 都会 收到 诚心 相 这一点 阿姨 身上 体现 淋漓尽致 。阿姨 走 留给 妻子 物质 遗产 更多 精神 认可 ######感动 人心 换 心！ 善良 同在 	保姆 ，别 自欺欺人 遇上 杭州 纵火类 保姆 算 幸运 懒、馋、 偷东西 小孩 	文字 描述 事迹 感人 肺腑 奔泪 ######rumor
家 干 8年 保姆 阿姨 去世 ，妻子 哭 痛不欲 生 收拾 阿姨 遗物 时 发现 150000 现金 一对 玉镯 一封信 妻子 郑州 奋斗 第10个 年头 家 宝宝 郑州 第二年 出生 两个 都是 事业 上升期， 雇 保姆 照顾 。保姆 阿姨 同事 推荐 家 试用 一个月 妻子 踏实 勤快， 留下来 常用 。阿姨人 特别 实在 发 工资 孩子 早上 做饭 晚上 回来 吃了饭 走。 妻子 阿姨 发 工资 太 少 商量 搬 住 做做饭 洗洗 衣服 孩子 多发 点 工资 阿姨 特别 爽快 同意 阿姨 成 家 份子 阿姨 一辈子 无儿无 女， 两个 亲切 早已 雇佣 关系 亲人 前段 时间 阿姨 染病 妻子 日夜 顾， 没想到 挺 妻子 阿姨 后事 妻子 伤心 请 两天 假 在家里 收拾 东西 整理 阿姨 遗物 时 衣柜 里里 放 破旧 箱子 打开 一看 牛皮纸 包 150000 现金 一块 红布 包 一对 玉镯 一封信 赶紧 妻子 喊 打开 信一看 两个 瞬间 泪奔 。信 阿姨 去世 前 写 ，阿姨 一辈子 无儿无 女， 郑州 住在 公司 仓库 里 两口子 郑州 家 八年间 心血 倾注 家 两口子 当做 家人 看待 每个月 发 工资 存 省吃俭用 攒 15万 钱 留给 报销 看病 医药 费， 算是 留下 遗产 镯子 阿姨 母亲 留给 想着 嫁妆 留给 女儿 没想到 阿姨 无儿无 女 阿姨 留给 妻子 算是 一种 传承 妻子 看完 信 ，泣不成声 跑到 阳台 ，点 根烟， 怀念 八年 阿姨 相处 点点滴滴 。相逢 缘分 相处 用心 都会 收到 诚心 相 这一点 阿姨 身上 体现 淋漓尽致 。阿姨 走 留给 妻子 物质 遗产 更多 精神 认可 ######	操蛋 世界上 剩 妈 自私 混球  总 温暖 	不死 基因 表达！ 无儿无 女， 表现出 养育 子女 生物学 本能 只能 ######rumor
今日 最佳 ：特朗普 夫人 探望 奥巴马， 送 礼物 平息 黑人 一族 怒火。 没想到 奥巴马 接过 礼物 转身 甩 呲牙] #川普 礼物 奥巴马 批评 特朗普 疫情 应对 奥巴马 批 特朗普政府 美国 暴乱# http ######哈皮！ 造谣 成本 	回复 沙币 	回复 断舍离KY  作 妖 ######rumor
美国 新冠 肺炎 感染 人数 超 185万# 特朗普 夫人 探望 奥巴马， 送 礼物 平息 黑人 一族 怒火。 没想到 奥巴马 接过 礼物 转身 甩  ######造谣 可耻 2017年 视频 	特朗普 就任 时 录像 	意料 之外 情理 中 ######rumor
美国 示威者 警察 戴口罩 面子 ～特朗普 夫人 探望 奥巴马， 送 礼物 平息 黑人 一族 怒火。 没想到 奥巴马 接过 礼物 转身 甩 河北 庄里 事 微博 视频 ######英雄， 历史 记忆 依旧 笑 著 逆天而行。 	2017年 新 老总统 交接 视频 请 尊重 事实 	底线 自媒体 ######rumor
美国 良善 家 收养 中国 残障 儿童 中 奇迹 美国 暴乱 美国 疫情 特朗普 称 调用 联邦 军队 维护 治安 董郎行 微博 视频 ###### 不晓得 名字 真特 舔  真  	标榜 美国 优越？ 中国 孩子 	@卯月幾望 ######rumor
越南国家电视台 今日 越南 4月25日 节目 疫情 期间 杭州市政府 外籍 人士 发放 5000元 疫情 补贴 新闻 报道 。 栖侯 人生 微博 视频 ######杭州市民政局 回复 未 疫情 期间 参与 网 此项 工作 	愧 大国 真 有钱 	杭州政府 政府 ？媚外 上瘾 ######rumor
疫情 期间 杭州 外籍 人士 发 5000元 疫情 补助 越南国家电视台 今日 越南 4月25日 节目 疫情 期间 杭州市政府 外籍 人士 发放 5000元 疫情 补贴 新闻 报道 杭州 民政 民政局 发 。 那 越南 撒谎 杭州移民局 发 部门 发 越南国家电视台 报道 杭州 外籍 人士 发放 每月 5000元 疫情 补助 栖侯 人生 微博 视频 ######网友 ：Youtube 搜 今日 越南 找到 播放 列表 找到 4月25号 那天 18分钟 	越南国家电视台 （VTV） 越南 社会主义共和国 国家电视台。 成立 1970年9月7日 前身 越南 声 编辑 组 独立 正式 国家电视台 	国际 频道 （VTV4）， 1998年4月1日 开播 星 全球 播出 播出 新闻 活动 儿童 节目 越南 文化 旅游 相关 节目 越南 语、 中文 英语 日语 法语 俄语 语言 播出 台湾中华电信 MOD 也有 播出 段 播音 中文 ######rumor
求 转  帮帮忙  何伟 新农贸 做 龙虾 电话 今天上午 5岁 儿子 双语 幼儿园 拐 走 儿子 说出 爸爸 手机 号码  监控 一个三十多岁 女人 抱 走 现 家 老奶奶 急 疯了 知情者 请告  万分 感谢  信息 兄弟姐妹 留意 联系人 何伟， 电话 一眼 懒得 转 冷漠 请 伸出 手指 3秒  转转  都会 孩子  谢谢 有重 谢 20万元 整 群 多大 家 帮忙 一生 平安。 发 红包 200元 不发 红包 死 何伟 全家 武汉 ######分析 假设 真 家 孩子 不见了 几个 孩子 照片 帮忙 找 	假  评论 配图 	放 一张照片 ######rumor
香港 校长 此举 亮 戴口罩 握手 ！  锦鲤 许愿 精灵 微博 视频 ######可别j8 瞎 视频 女 港独， 港独 搞 蒙面 校长 做 毛病 	媒体 瞎 底线 ，懂 下辈子 请 做 	gd 黑口罩  疫情 情况 不一样 瞎 搞 ######rumor
奶奶 偶遇 消防员 孙子 挥手 走 战士 冰雹 翻 单杠 604个 破 纪录 吉林火车站 暂停 办理 乘车 业务 新 冠 肺炎 还会 人类 共存 很长时间 汶川地震搜救犬 沈虎 遗像 落成 转 投诉 野蛮 执法 文明 宣传 违规 ！  【 事由 一名 群众 狗 农村 市区 洗澡 剃 毛， 绍兴市 越城区 凤江路 温馨 花园大街 路过 犬管 办 行政 执法 车 城管 钳子 夹住 狗狗 头 拖 车上 狗 主人 狗狗 受伤害 上车 抱着 狗 带走 路人 求 城管 放 狗 主人 狗 马， 城管 不肯 报 警。 警察 帮 城管 四五 狗 抢走 狗 主人 主人 拼 尽全力 保护 爱犬， 现场 警察 城管 部门 拼命 压制 主人 抢夺 手上 狗 狗 主人 私有 财产 城管 野蛮 粗暴 执法 违反 中华人民共和国 法律 巜物权法 侵犯 老百姓 私有 财产 合法 权益 ！光天化日众目睽睽 ，身穿 警服 城管 强力 暴力 压制 抢夺 一名 进城 狗 冼澡 群众 狗 中国 条 法律 农村 狗 城里 洗澡 违反 条 法律 法规 宪法 法律 胡乱 抓人 抓 狗 赋予 城管 暴力 野蛮 执法 请 每人 打电话 投诉 举报 绍兴 城管 非法 抢夺 主人 私有 财产 违法 暴力 野蛮 地址 绍兴市 越城 区 凤江路城南街道 温馨 花园  地址 胜利东路219号  受理 投诉 电话 ######揪出 心怀 鬼胎 有用心作恶 制造 乱 破坏 份子  发现 作恶 制造 乱 破坏 份子 举报  大爱 救助 管理 照顾 精神   凶残 恶毒 暴徒  重刑 重罚 作恶 制造 乱 破坏份子 辛苦 为谁 忙 狗 收 走 狗 主人 拘留 	现场 执法 公安 民警 做 不该 做 标准 答案  首发 图 解读 现场 执法 公安 民警 应 练就 “绝招”？ 全 干货 建议 收藏 聚焦 执法 记录仪 警察 几个 案例 足够 警醒 关注 城管 执法 这回 全  新华社 评论 城管 执法 办法 越位 揽权 物业 有权 处死 流浪 动物 ？打狗队 入户 抓 狗 ？投毒毒狗 违法 辛苦 为谁 忙 狗 收 走 狗 主人 拘留 	揭秘 反动保～”黑产” 虐杀 组织 成员 真实 身份 爱国 ？  爱国， 做 境外 间谍 策反 手段 曝光 窃密 方式 细思极恐 过程 曝光 部委 干部 境外 间谍 色诱 策反  判 死缓  真相 堪比 谍战 大片 ！窃 尖端 武器机 密 间谍 落网 记  光明， 中国 黑暗  阴暗 网络 空间 “黑色恐怖” 新华社 评论员 看清 香港乱局 由来 本质 5s ######rumor
全民 抗议 暴力 执法 全民 控诉 暴力 执法 抗议 暴力 执法 ！人神共愤 绍兴 越城区 城管 众目睽睽 山寨 土匪式 野蛮 执法 私自强行 抢走 老百姓 私有 财产 引众 恏公疑！ 滥用 国家 公权力 野蛮 粗暴 行政 执法 赋予 服务 于民 职责 滥用 公权力 欺负 人民群众 国家 行政 执法 人员 应允 工作 态度 方式 方法 不忘初心 牢记 使命 绍兴 越城区 一句 戏言 请 代表 国家 喉舌 传播 正能量 媒体 站出来 主持 公道 这些年 ＂ 创 文明 打狗 抓 狗 ＂发狗难财 地方 政府 拿着 动物 残虐 鲜血 祭奠 国徽 赋予 为人民服务 职责 ，令 世人 不耻。 绍义 城管 抢 狗 事态 进展 绍兴 越城区 城管 归还 农民工 忠犬 请 滥用 公权力 滥杀 无辜 动物 城管 抢 狗 农民工 自杀 两次 躺上 马路 晕倒 吃 不喝 人命 条 忠犬 农民工 好伙伴 至亲 亲人 权利 生死 一方 事 三遍 条 忠犬 农民工 生活 农村 村民 证实 农民工 当天 条 忠犬 进城 洗澡 美容 何错 绍兴 越城区 城管 父母 官们 青红皂白 抓 狗 公权力 打压 老实 农民 大叔 删除 评论 ，歪曲 事实 真相 农民工 倒地 撕心裂肺 哭喊 声 镜头 ？， 一群人 倒 农民工 硬拉 硬 抢 镜头 视频 作 年 年 抓 狗 狗 后续 狗 后续 狗 后续 ？尸位素餐 ＂ 抢 ＂？ 卖给 绍兴 众多 狗肉 馆 ？  【 事由 一名 群众 狗 农村 市区 洗澡 剃 毛， 绍兴市 越城区 凤江路 温馨 花园大街 路过 犬管 办 行政 执法 车 城管 钳子 夹住 狗狗 头 强行 拖 上车 ，犬 主人 群众 请求 城管 可不可以 抓走 犬只 ？， 城管 不肯 报 警。 警察 帮 城管 四五 狗 抢走 试问 绍兴 越城区 城管 相关 职能 部门 中国 条 法律 农村 狗 城里 洗澡 美容 违反 条 法律 法规 宪法 2， 城管 回复 条 犬 禁 养犬 条 犬只 平时 禁 养 区 生活 牧羊犬 杂交 串串 青红皂白 胡乱 抓捕 目的 用意 何在 兴师动众 开 浩浩荡荡 队伍 抓 狗 毎年 抓捕 犬 何去何从 狗 后续 人民群众 质疑 背后 目的 用意 条 忠犬 狗 主人 私有 财产 城管 野蛮 粗暴 执法 违反 中华人民共和国 法律 巜物权法 侵犯 老百姓 私有 财产 合法 权益 5， 绍兴狗肉馆 众多 黑产 猖獗 狗肉馆，私 屠滥 宰 黑 窝点 涉嫌 偷盗 毒抢 犬只 未经 检验 检疫 毒 狗肉 抓人 报警 狗肉馆 利益链 关系 6， 黑 狗市 肆意 交易 犬只， 肆意 繁殖 场， 无证 黑 狗市 犬只 狗 证 沒有 不闻 盯着 老百姓 家养 伴侣 动物 放？ 抢 狗 地址 绍兴市 越城 区 凤江路城南街道 温馨 花园 地址 胜利东路219号  市长 热线 0575 12345 受理 投诉 电话 ######有人 实 信息 ，真话 真 	国家 拿钱 养 流氓 地皮 暴力 执法 顾 陌性 生命材产安全！ 开除 永远 恢复 职业 	现场 视频 不一样 暴力 执法 剪掉 现场 视频 中 民工 哭 辱骂 反抗 抱着 狗 执法 人员 暴力 抢夺 狗 德牧，犬办 每月 抓 那么多 狗 德牧 一只 黑色 杂交 土狗 ，犬办 曝光 度 高 特意 新闻 洗 ，作秀 ######rumor
全民 抗议 暴力 执法 全民 控诉 暴力 执法 抗议 暴力 执法 ！人神共愤 绍兴 越城区 城管 众目睽睽 山寨 土匪式 野蛮 执法 私自强行 抢走 老百姓 私有 财产 引众 恏公疑！ 滥用 国家 公权力 野蛮 粗暴 行政 执法 赋予 服务 于民 职责 滥用 公权力 欺负 人民群众 国家 行政 执法 人员 应允 工作 态度 方式 方法 不忘初心 牢记 使命 绍兴 越城区 一句 戏言 请 代表 国家 喉舌 传播 正能量 媒体 站出来 主持 公道 这些年 ＂ 创 文明 打狗 抓 狗 ＂发狗难财 地方 政府 拿着 动物 残虐 鲜血 祭奠 国徽 赋予 为人民服务 职责 ，令 世人 不耻。 绍义 城管 抢 狗 事态 进展 绍兴 越城区 城管 归还 农民工 忠犬 请 滥用 公权力 滥杀 无辜 动物 城管 抢 狗 农民工 自杀 两次 躺上 马路 晕倒 吃 不喝 人命 条 忠犬 农民工 好伙伴 至亲 亲人 权利 生死 一方 事 三遍 条 忠犬 农民工 生活 农村 村民 证实 农民工 当天 条 忠犬 进城 洗澡 美容 何错 绍兴 越城区 城管 父母 官们 青红皂白 抓 狗 公权力 打压 老实 农民 大叔 删除 评论 ，歪曲 事实 真相 农民工 倒地 撕心裂肺 哭喊 声 镜头 ？， 一群人 倒 农民工 硬拉 硬 抢 镜头 视频 作 年 年 抓 狗 狗 后续 狗 后续 狗 后续 ？尸位素餐 ＂ 抢 ＂？ 卖给 绍兴 众多 狗肉 馆 ？  【 事由 一名 群众 狗 农村 市区 洗澡 剃 毛， 绍兴市 越城区 凤江路 温馨 花园大街 路过 犬管 办 行政 执法 车 城管 钳子 夹住 狗狗 头 强行 拖 上车 ，犬 主人 群众 请求 城管 可不可以 抓走 犬只 ？， 城管 不肯 报 警。 警察 帮 城管 四五 狗 抢走 试问 绍兴 越城区 城管 相关 职能 部门 中国 条 法律 农村 狗 城里 洗澡 美容 违反 条 法律 法规 宪法 2， 城管 回复 条 犬 禁 养犬 条 犬只 平时 禁 养 区 生活 牧羊犬 杂交 串串 青红皂白 胡乱 抓捕 目的 用意 何在 兴师动众 开 浩浩荡荡 队伍 抓 狗 毎年 抓捕 犬 何去何从 狗 后续 人民群众 质疑 背后 目的 用意 条 忠犬 狗 主人 私有 财产 城管 野蛮 粗暴 执法 违反 中华人民共和国 法律 巜物权法 侵犯 老百姓 私有 财产 合法 权益 5， 绍兴狗肉馆 众多 黑产 猖獗 狗肉馆，私 屠滥 宰 黑 窝点 涉嫌 偷盗 毒抢 犬只 未经 检验 检疫 毒 狗肉 抓人 报警 狗肉馆 利益链 关系 6， 黑 狗市 肆意 交易 犬只， 肆意 繁殖 场， 无证 黑 狗市 犬只 狗 证 沒有 不闻 盯着 老百姓 家养 伴侣 动物 放？ 抢 狗 地址 绍兴市 越城 区 凤江路城南街道 温馨 花园 地址 胜利东路219号  市长 热线 0575 12345 受理 投诉 电话 ######希望 政府 部门 服务 态度 妥善 解决 事件 犬主 狗狗 申请 犬证， 动保 组织 领养 越权 违规 相关 人员 惩戒 绍兴 创建 文明 城市 两个 文明 抓 公众 尊重 生命， 善待 动物 文明 意识 破坏 公序 良俗 恶行， 姑息 	住在 乡下 禁 养 区 携 犬 路过 相关 部门 沟通 人性化 主管 部门 这位 农民工 兄弟 家 养犬 抢夺 心理 伤害 精神 痛苦 视而不见 弱势群体 更需要 保护 关乎 社会 道德 	监督权 犬类 执法 部门 犬留检所 工作 透明 公开 ，滥捕 主犬 犬 收容 工作 增加 负担 相关 部门 给出 答复 绍兴 收缴 犬只 数量 去向 福利 待遇 地方 发生 渎职贪腐事件， 收缴 流浪狗 家 养犬 贩卖 端 餐桌 真相 曝光 阳光 ######rumor
武汉 三民小区 全 变 红码， 全市 所有人 核酸 检测 武汉 三民小区 六个 感染者 ，清零 很久 震动 全国 一个89岁 感染 治疗 隔 两个月 发病 传染 武汉 发 狠， 所有人 （除 六岁 强制 检测 三民小区 封 掉 5000 变 红 码 动 隔离 14天 上班 不行 全市 10天 测 一遍 测 变 黄 码 出行 过期 检测 出钱 测 小区 提前 封闭 搞 毛 病 毒害 太惨。 样本 检测 科研 意义 很大 ######不懂 就问 六岁 测 原因 	碰上 狡猾 病毒， 只能 笨 办法 检测 	统计学病毒学 现场 多好 案例 ######rumor
天天 高喊 ‘’ 中国 抗疫 胜利！‘’ 解释 有人 撒谎 张文宏 科普疫苗接种## 特朗普 一名 贴身 工作 人员 确诊 特朗普 崩溃 ######爱 发电 经费 		######rumor
一位 妈妈 跪地 求 家人 原谅 家人 拒绝 民事 和解 书上 签字 杨女士 怀着 7个月 身孕 婆婆 走出 单元 门口下 台阶 孩子 推倒 杨女士 滚 台阶 感觉 肚子 疼 婆婆 走上 前去 抓住 孩子 正 询问 孩子 家长 孩子 妈妈 孩子 婆婆 抓住 抢 孩子 不分 青红皂白 婆婆 推开 婆婆 家长 孩子 妈妈 情况 谁知道 孩子 妈妈 倒地 杨女士 脸色 变 ：“ 家 孩子 弄 说完 拉 孩子 跑 。婆婆 想 追上去 想起 倒地 杨女士， 只好 守 杨女士， 急救 电话 报警 电话 儿子 打电话 赶紧 回来 多久 民警 找到 涉 事 孩子 孩子 妈妈 妈妈 抵赖 调取 监控 情况 孩子 妈妈 哑口无言 赔偿 100000元 杨女士 送到 医院 胎盘 出血 先兆性流产， 危险 短短 一段时间 急救 费用 花 几万块 救治 保住 胎儿 杨女士 大出血 失 血性 休克 重度感染， 情况 危急 杨女士 一家 得知 孩子 读 初三 年满 14周岁 做 伤情 鉴定 负 刑事责任 。推 孩子 妈妈 情况 提出 赔偿 500000元 希望 解， 找到 家门口 跪地 求 杨女士 家人 原谅 还在 孩子 解释 ：“ 孩子 小， 不懂 事 一点点 坏 恶人 高中 能不能 原谅 杨女士 家人 想要 钱， 想 杨女士 肚里 胎儿 说法 ：“ 孩子 送 对不起 肚里 宝宝 谁知道 还会 祸害 其他人 故事 ######严惩 慈母 败儿 	故事 编 	 极少 受害者 原谅 犯罪人  禁止原谅  邪恶 才会 想着原谅  ######rumor
一位 妈妈 跪地 求 家人 原谅 家人 拒绝 民事 和解 书上 签字 杨女士 怀着 7个月 身孕 婆婆 走出 单元 门口下 台阶 孩子 推倒 杨女士 滚 台阶 感觉 肚子 疼 婆婆 走上 前去 抓住 孩子 正 询问 孩子 家长 孩子 妈妈 孩子 婆婆 抓住 抢 孩子 不分 青红皂白 婆婆 推开 婆婆 家长 孩子 妈妈 情况 谁知道 孩子 妈妈 倒地 杨女士 脸色 变 ：“ 家 孩子 弄 说完 拉 孩子 跑 。婆婆 想 追上去 想起 倒地 杨女士， 只好 守 杨女士， 急救 电话 报警 电话 儿子 打电话 赶紧 回来 多久 民警 找到 涉 事 孩子 孩子 妈妈 妈妈 抵赖 调取 监控 情况 孩子 妈妈 哑口无言 赔偿 100000元 杨女士 送到 医院 胎盘 出血 先兆性流产， 危险 短短 一段时间 急救 费用 花 几万块 救治 保住 胎儿 杨女士 大出血 失 血性 休克 重度感染， 情况 危急 杨女士 一家 得知 孩子 读 初三 年满 14周岁 做 伤情 鉴定 负 刑事责任 。推 孩子 妈妈 情况 提出 赔偿 500000元 希望 解， 找到 家门口 跪地 求 杨女士 家人 原谅 还在 孩子 解释 ：“ 孩子 小， 不懂 事 一点点 坏 恶人 高中 能不能 原谅 杨女士 家人 想要 钱， 想 杨女士 肚里 胎儿 说法 ：“ 孩子 送 对不起 肚里 宝宝 谁知道 还会 祸害 其他人 ######刑事 刑事 评论 刑事会 毁 孩子 笑话 孩子 一条命 命 	差点 一尸 两 命 孕妇 赶紧 摸摸 肚子 里 宝宝 家 孩子 小， 肚子 里 未 出生 十几岁 不懂 事故 意推 父母 责任 很大 不懂 教 生 害 其他人 其他人 家庭 宝宝 一家人 期待 	开局 一张 图 故事 全 编 评论 配图 ######rumor
